IID	Group	Sex	Date	Population	NumSNPs	k1	k2	k3
I6334	EAfr	M	1102.0	Sudan_EarlyChristian_S	349741	0.000010	0.999980	0.000010
I6336	EAfr	M	1049.0	Sudan_EarlyChristian_S	605440	0.000010	0.999980	0.000010
I6337	EAfr	M	1238.0	Sudan_EarlyChristian_S	567807	0.000010	0.999980	0.000010
I6338	EAfr	F	1239.0	Sudan_EarlyChristian_S	559510	0.000010	0.999980	0.000010
I17475	EAfr	M	1125.0	Sudan_EarlyChristian_S_brother.of.I6256	228471	0.000010	0.999980	0.000010
I18612	EAfr	M	1100.0	Sudan_EarlyChristian_S_father.or.son.I18610	25291	0.000010	0.999980	0.000010
I17478	EAfr	M	1150.0	Sudan_EarlyChristian_S_lc	14303	0.000010	0.999980	0.000010
I18524_d	EAfr	M	1100.0	Sudan_EarlyChristian_S_lc	12177	0.000010	0.999980	0.000010
I18509	EAfr	F	1150.0	Sudan_EarlyChristian_S_sister.of.I6324	286053	0.000010	0.999980	0.000010
I8821	EAfr	M	7070.0	Tanzania_Kisese_LSA	925375	0.264681	0.334131	0.401188
I3726	EAfr	F	3023.0	Tanzania_Luxmanda_3000BP	793840	0.000010	0.999980	0.000010
I3726_noUDG	EAfr	F	3023.0	Tanzania_Luxmanda_3000BP_noUDG	844172	0.000010	0.999980	0.000010
I1048.SG	EAfr	F	1357.0	Tanzania_Pemba_1400BP_lc.SG	5503	0.000010	0.495111	0.504879
I1048	EAfr	F	1357.0	Tanzania_Pemba_1400BP	104767	0.000010	0.510047	0.489943
I1048_noUDG	EAfr	F	1357.0	Tanzania_Pemba_1400BP_noUDG	167928	0.000010	0.524395	0.475595
I2298_noUDG	Bantu	F	590.0	Tanzania_Pemba_600BP	655703	0.820999	0.081215	0.097786
I13972	EAfr	M	1647.0	Tanzania_PN	98992	0.000010	0.905849	0.094141
I13977	EAfr	M	1924.0	Tanzania_PN	273095	0.000010	0.978076	0.021914
I13978	EAfr	F	2273.0	Tanzania_PN	437039	0.000010	0.938644	0.061346
I13979	EAfr	F	2409.0	Tanzania_PN	752966	0.007158	0.965053	0.027789
I13980	EAfr	M	2587.0	Tanzania_PN	777396	0.000010	0.978747	0.021243
I13981	EAfr	F	2566.0	Tanzania_PN	321312	0.000010	0.980356	0.019634
I13763	EAfr	F	1930.0	Tanzania_PN_IA	17412	0.123340	0.439397	0.437263
I13982	EAfr	F	2150.0	Tanzania_PN_IA	243948	0.199095	0.387873	0.413032
I13983	EAfr	M	2150.0	Tanzania_PN_IA	64810	0.145180	0.404102	0.450718
I13983_enhanced_d	EAfr	M	2150.0	Tanzania_PN_IA_lc	7685	0.000010	0.443896	0.556094
I13762	EAfr	M	2051.0	Tanzania_PN_IA_o	795904	0.012574	0.966234	0.021193
I0589	EAfr	F	1331.0	Tanzania_Zanzibar_1300BP	312716	0.076286	0.389183	0.534532
I0589_noUDG	EAfr	F	1331.0	Tanzania_Zanzibar_1300BP_noUDG	752358	0.151274	0.366572	0.482154
I0589_noUDG.SG	EAfr	F	1331.0	Tanzania_Zanzibar_1300BP_lc.SG	11875	0.184181	0.338321	0.477498
MUN001	Bantu	F	450.0	Uganda_Munsa_LIA	369298	0.812277	0.087771	0.099952
NA18486.SG	YRI.SG	M	0	YRI.SG	1101850	0.999980	0.000010	0.000010
NA18488.SG	YRI.SG	F	0	YRI.SG	1140202	0.999980	0.000010	0.000010
NA18489.SG	YRI.SG	F	0	YRI.SG	1148516	0.999980	0.000010	0.000010
NA18498.SG	YRI.SG	M	0	YRI.SG	950902	0.999980	0.000010	0.000010
NA18499.SG	YRI.SG	F	0	YRI.SG	1145509	0.999980	0.000010	0.000010
NA18501.SG	YRI.SG	M	0	YRI.SG	1140618	0.995975	0.000010	0.004015
NA18502.SG	YRI.SG	F	0	YRI.SG	1135153	0.988515	0.000010	0.011475
NA18504.SG	YRI.SG	M	0	YRI.SG	1142979	0.999980	0.000010	0.000010
NA18505.SG	YRI.SG	F	0	YRI.SG	1143714	0.996587	0.000010	0.003403
NA18507.SG	YRI.SG	M	0	YRI.SG	920022	0.999980	0.000010	0.000010
NA18508.SG	YRI.SG	F	0	YRI.SG	1136294	0.986188	0.000010	0.013802
NA18510.SG	YRI.SG	M	0	YRI.SG	1147145	0.999980	0.000010	0.000010
NA18511.SG	YRI.SG	F	0	YRI.SG	1131883	0.990131	0.002085	0.007784
NA18516.SG	YRI.SG	M	0	YRI.SG	978217	0.999980	0.000010	0.000010
NA18517.SG	YRI.SG	F	0	YRI.SG	1139867	0.984282	0.000010	0.015708
NA18519.SG	YRI.SG	M	0	YRI.SG	1148558	0.999980	0.000010	0.000010
NA18520.SG	YRI.SG	F	0	YRI.SG	1026270	0.999980	0.000010	0.000010
NA18522.SG	YRI.SG	M	0	YRI.SG	772094	0.999980	0.000010	0.000010
NA18856.SG	YRI.SG	M	0	YRI.SG	1145349	0.996590	0.000010	0.003400
NA18858.SG	YRI.SG	F	0	YRI.SG	1133561	0.979004	0.000010	0.020986
NA18861.SG	YRI.SG	F	0	YRI.SG	1142420	0.979352	0.000323	0.020325
NA18864.SG	YRI.SG	F	0	YRI.SG	1147219	0.993122	0.000010	0.006868
NA18865.SG	YRI.SG	M	0	YRI.SG	1143242	0.999980	0.000010	0.000010
NA18867.SG	YRI.SG	F	0	YRI.SG	1140447	0.999980	0.000010	0.000010
NA18868.SG	YRI.SG	M	0	YRI.SG	1124880	0.999980	0.000010	0.000010
NA18870.SG	YRI.SG	F	0	YRI.SG	1146241	0.998330	0.000010	0.001660
NA18871.SG	YRI.SG	M	0	YRI.SG	951319	0.999980	0.000010	0.000010
NA18873.SG	YRI.SG	F	0	YRI.SG	1103742	0.999980	0.000010	0.000010
NA18874.SG	YRI.SG	M	0	YRI.SG	1021606	0.999980	0.000010	0.000010
NA18876.SG	YRI.SG	F	0	YRI.SG	1142304	0.999980	0.000010	0.000010
NA18877.SG	YRI.SG	M	0	YRI.SG	1145942	0.999980	0.000010	0.000010
NA18878.SG	YRI.SG	F	0	YRI.SG	1147565	0.995025	0.000010	0.004965
NA18879.SG	YRI.SG	M	0	YRI.SG	1142510	0.999980	0.000010	0.000010
NA18881.SG	YRI.SG	F	0	YRI.SG	1143990	0.985006	0.000010	0.014984
NA18907.SG	YRI.SG	F	0	YRI.SG	1138793	0.971295	0.000010	0.028695
NA18908.SG	YRI.SG	M	0	YRI.SG	1050425	0.999980	0.000010	0.000010
NA18909.SG	YRI.SG	F	0	YRI.SG	1135955	0.992676	0.000010	0.007314
NA18910.SG	YRI.SG	M	0	YRI.SG	1048396	0.999980	0.000010	0.000010
NA18915.SG	YRI.SG	M	0	YRI.SG	1147560	0.999980	0.000010	0.000010
NA18916.SG	YRI.SG	F	0	YRI.SG	1144920	0.990424	0.000010	0.009566
NA18917.SG	YRI.SG	M	0	YRI.SG	1122979	0.999315	0.000010	0.000675
NA18923.SG	YRI.SG	M	0	YRI.SG	1132194	0.984470	0.000010	0.015520
NA18924.SG	YRI.SG	F	0	YRI.SG	1133624	0.998978	0.000010	0.001012
NA18933.SG	YRI.SG	F	0	YRI.SG	1135371	0.999980	0.000010	0.000010
NA18934.SG	YRI.SG	M	0	YRI.SG	1113142	0.996736	0.000010	0.003254
NA19093.SG	YRI.SG	F	0	YRI.SG	1128226	0.999980	0.000010	0.000010
NA19095.SG	YRI.SG	F	0	YRI.SG	1146492	0.989601	0.000010	0.010389
NA19096.SG	YRI.SG	M	0	YRI.SG	1141681	0.988705	0.000010	0.011285
NA19098.SG	YRI.SG	M	0	YRI.SG	1144907	0.999980	0.000010	0.000010
NA19099.SG	YRI.SG	F	0	YRI.SG	1144402	0.978911	0.000010	0.021079
NA19102.SG	YRI.SG	F	0	YRI.SG	1149241	0.996549	0.000010	0.003441
NA19107.SG	YRI.SG	M	0	YRI.SG	1141329	0.990081	0.000010	0.009909
NA19108.SG	YRI.SG	F	0	YRI.SG	1138500	0.973489	0.000010	0.026501
NA19113.SG	YRI.SG	M	0	YRI.SG	1140724	0.993482	0.000010	0.006508
NA19114.SG	YRI.SG	F	0	YRI.SG	1141573	0.994985	0.000010	0.005005
NA19116.SG	YRI.SG	F	0	YRI.SG	972847	0.999980	0.000010	0.000010
NA19117.SG	YRI.SG	M	0	YRI.SG	1134448	0.995338	0.000010	0.004652
NA19118.SG	YRI.SG	F	0	YRI.SG	1124062	0.948599	0.041133	0.010268
NA19119.SG	YRI.SG	M	0	YRI.SG	1148341	0.992553	0.000010	0.007437
NA19121.SG	YRI.SG	M	0	YRI.SG	1145929	0.999980	0.000010	0.000010
NA19130.SG	YRI.SG	M	0	YRI.SG	1031586	0.999980	0.000010	0.000010
NA19131.SG	YRI.SG	F	0	YRI.SG	1149378	0.993110	0.000010	0.006880
NA19137.SG	YRI.SG	F	0	YRI.SG	1134731	0.999980	0.000010	0.000010
NA19138.SG	YRI.SG	M	0	YRI.SG	1123560	0.999980	0.000010	0.000010
NA19141.SG	YRI.SG	M	0	YRI.SG	1099707	0.980240	0.000010	0.019750
NA19143.SG	YRI.SG	F	0	YRI.SG	1086110	0.999980	0.000010	0.000010
NA19144.SG	YRI.SG	M	0	YRI.SG	1129028	0.987095	0.000010	0.012895
NA19146.SG	YRI.SG	M	0	YRI.SG	1137294	0.999980	0.000010	0.000010
NA19147.SG	YRI.SG	F	0	YRI.SG	1135654	0.985865	0.000010	0.014125
NA19149.SG	YRI.SG	F	0	YRI.SG	1082230	0.999980	0.000010	0.000010
NA19152.SG	YRI.SG	F	0	YRI.SG	1149663	0.999980	0.000010	0.000010
NA19153.SG	YRI.SG	M	0	YRI.SG	1130933	0.999980	0.000010	0.000010
NA19159.SG	YRI.SG	F	0	YRI.SG	1143780	0.994072	0.000010	0.005918
NA19160.SG	YRI.SG	M	0	YRI.SG	1120547	0.999980	0.000010	0.000010
NA19171.SG	YRI.SG	M	0	YRI.SG	1149568	0.987877	0.000010	0.012113
NA19175.SG	YRI.SG	M	0	YRI.SG	1133520	0.999980	0.000010	0.000010
NA19184.SG	YRI.SG	M	0	YRI.SG	1147629	0.987650	0.000010	0.012340
NA19185.SG	YRI.SG	F	0	YRI.SG	1110297	0.979019	0.000010	0.020971
NA19189.SG	YRI.SG	M	0	YRI.SG	956946	0.999980	0.000010	0.000010
NA19190.SG	YRI.SG	F	0	YRI.SG	1139393	0.991530	0.000010	0.008460
NA19197.SG	YRI.SG	F	0	YRI.SG	1119085	0.999980	0.000010	0.000010
NA19198.SG	YRI.SG	M	0	YRI.SG	1125508	0.990225	0.000010	0.009765
NA19201.SG	YRI.SG	F	0	YRI.SG	1120365	0.999980	0.000010	0.000010
NA19204.SG	YRI.SG	F	0	YRI.SG	1149532	0.999951	0.000010	0.000039
NA19206.SG	YRI.SG	F	0	YRI.SG	1145017	0.999980	0.000010	0.000010
NA19207.SG	YRI.SG	M	0	YRI.SG	1124253	0.998638	0.000010	0.001352
NA19209.SG	YRI.SG	F	0	YRI.SG	1124840	0.999980	0.000010	0.000010
NA19210.SG	YRI.SG	M	0	YRI.SG	1130726	0.999980	0.000010	0.000010
NA19213.SG	YRI.SG	M	0	YRI.SG	1131098	0.999980	0.000010	0.000010
NA19214.SG	YRI.SG	F	0	YRI.SG	1127798	0.997551	0.000010	0.002439
NA19222.SG	YRI.SG	F	0	YRI.SG	1132010	0.999980	0.000010	0.000010
NA19223.SG	YRI.SG	M	0	YRI.SG	1124454	0.988165	0.000010	0.011825
NA19225.SG	YRI.SG	F	0	YRI.SG	1145013	0.990788	0.000010	0.009202
NA19235.SG	YRI.SG	F	0	YRI.SG	1073661	0.999980	0.000010	0.000010
NA19236.SG	YRI.SG	M	0	YRI.SG	1090405	0.999980	0.000010	0.000010
NA19238.SG	YRI.SG	F	0	YRI.SG	1115435	0.991698	0.000010	0.008292
NA19239.SG	YRI.SG	M	0	YRI.SG	1111290	0.998214	0.000010	0.001776
NA19247.SG	YRI.SG	F	0	YRI.SG	1095360	0.999980	0.000010	0.000010
NA19248.SG	YRI.SG	M	0	YRI.SG	1063454	0.999980	0.000010	0.000010
NA19256.SG	YRI.SG	M	0	YRI.SG	1142943	0.985422	0.000010	0.014568
NA19257.SG	YRI.SG	F	0	YRI.SG	1143427	0.984353	0.000010	0.015637
I10726	CAfr	F	5095.0	Zambia_LSA	98097	0.127201	0.214660	0.658140
